"keyword","volume","change_3m","change_yoy","competition","bid_low","bid_high","section","class"
"pedir comida delivery","10","0%","+∞","Låg","","","Sökordsförslag","delivery-generic"
"catering para empresas","10","-100%","-100%","","","","Sökordsförslag","catering"
"banquetes para fiestas","10","0%","0%","","","","Sökordsförslag","catering"
"chef gourmet","10","-100%","-100%","","","","Sökordsförslag","chef"
"superchef","10","+100%","0%","Låg","","","Sökordsförslag","other"
"chef catering","10","0%","0%","","","","Sökordsförslag","catering"
"easy chef","10","+∞","+∞","Låg","","","Sökordsförslag","other"
"pedir comida en linea","10","0%","0%","","","","Sökordsförslag","delivery-generic"
"almuerzos a domicilio","10","0%","+∞","Låg","","","Sökordsförslag","delivery-generic"
"comida online a domicilio","10","-100%","0%","","","","Sökordsförslag","delivery-generic"
